epoch,accuracy,f1_m,loss,precision_m,recall_m
0,0.8740000128746033,0.859077513217926,0.40188002586364746,0.9023149013519287,0.8336661458015442
0,0.8791999816894531,0.8613063097000122,0.3957459032535553,0.895950198173523,0.8383586406707764
0,0.8719000220298767,0.8534408211708069,0.41392114758491516,0.8966357707977295,0.8279752135276794
0,0.8741000294685364,0.8533749580383301,0.40433552861213684,0.8946090340614319,0.8291733264923096
0,0.8801000118255615,0.8572695851325989,0.3978363573551178,0.8914561867713928,0.8352635502815247
0,0.8719000220298767,0.85548335313797,0.42408227920532227,0.9031981229782104,0.8275758624076843
0,0.8808000087738037,0.8641449213027954,0.39355000853538513,0.9047253131866455,0.840255618095398
0,0.8727999925613403,0.8531125783920288,0.42346450686454773,0.8980705142021179,0.8275758624076843
0,0.8815000057220459,0.8636928796768188,0.39066240191459656,0.9006878137588501,0.8394568562507629
0,0.8815000057220459,0.8570787906646729,0.4069223701953888,0.8957326412200928,0.8324680328369141
0,0.8776000142097473,0.8558169007301331,0.408900648355484,0.8931456804275513,0.832068681716919
0,0.8769000172615051,0.8588979244232178,0.4136923849582672,0.9009796380996704,0.8351637125015259
1,0.953499972820282,0.9536619186401367,0.15301519632339478,0.9611871242523193,0.9464856386184692
2,0.9704999923706055,0.9707978963851929,0.09359531104564667,0.9750150442123413,0.9667531847953796
3,0.9776999950408936,0.9781789779663086,0.07341253012418747,0.9807072281837463,0.9757388234138489
4,0.9817000031471252,0.981947660446167,0.05303279310464859,0.9843502640724182,0.9796326160430908
5,0.98580002784729,0.9856263995170593,0.04228584095835686,0.9871754050254822,0.9841253757476807
6,0.9865999817848206,0.9863344430923462,0.03881277143955231,0.9873815178871155,0.9853234887123108
7,0.9898999929428101,0.9898479580879211,0.028750980272889137,0.9907082319259644,0.9890175461769104
8,0.9908999800682068,0.9909034371376038,0.02750956453382969,0.991410493850708,0.9904153347015381
9,0.9904000163078308,0.9904993772506714,0.025933269411325455,0.9911013245582581,0.9899161458015442
0,0.8823999762535095,0.8655193448066711,0.38215911388397217,0.9051259160041809,0.842052698135376
1,0.963100016117096,0.963587760925293,0.12508219480514526,0.969674289226532,0.9577675461769104
2,0.9732999801635742,0.9736608862876892,0.08499322831630707,0.9771972298622131,0.9702476263046265
3,0.9805999994277954,0.9804056882858276,0.06170867383480072,0.9825534224510193,0.9783346652984619
4,0.9825999736785889,0.9832682013511658,0.05271191895008087,0.9851721525192261,0.9814296960830688
5,0.9873999953269958,0.9875929951667786,0.038863420486450195,0.9885956645011902,0.9866213798522949
6,0.9878000020980835,0.9879018068313599,0.034299805760383606,0.9884021282196045,0.9874201416969299
7,0.9904000163078308,0.9904978275299072,0.029621027410030365,0.9910981059074402,0.9899161458015442
8,0.9919000267982483,0.9917861819267273,0.024386320263147354,0.9924798011779785,0.9911141991615295
9,0.9937999844551086,0.9938527941703796,0.020775992423295975,0.9942060708999634,0.993510365486145
0,0.8752999901771545,0.856548547744751,0.39892908930778503,0.8948614597320557,0.8323681950569153
1,0.9603000283241272,0.9606002569198608,0.12944380939006805,0.9675502777099609,0.953973650932312
2,0.9726999998092651,0.9727209210395813,0.08912680298089981,0.9767390489578247,0.9688498377799988
3,0.9797000288963318,0.9805309772491455,0.06847861409187317,0.9836453795433044,0.9775359630584717
4,0.9807000160217285,0.9807610511779785,0.05612564831972122,0.9830690622329712,0.9785343408584595
5,0.9868000149726868,0.9865818023681641,0.03998078778386116,0.9877808690071106,0.9854233264923096
6,0.9879999756813049,0.9878305196762085,0.03741823881864548,0.9889819622039795,0.9867212176322937
7,0.988099992275238,0.988502562046051,0.030793029814958572,0.9892076253890991,0.987819492816925
8,0.9901999831199646,0.990301251411438,0.02935957722365856,0.9908050298690796,0.9898163080215454
9,0.9922999739646912,0.9924977421760559,0.02238275669515133,0.9931045770645142,0.9919129610061646
0,0.8835999965667725,0.867870569229126,0.3893067538738251,0.9108664393424988,0.8434504866600037
1,0.9616000056266785,0.9612302184104919,0.13081778585910797,0.9669169187545776,0.9557707905769348
2,0.9749000072479248,0.9748080968856812,0.08094123750925064,0.9780994057655334,0.9716453552246094
3,0.9775999784469604,0.977675199508667,0.06907760351896286,0.9804053902626038,0.9750399589538574
4,0.9818999767303467,0.9819572567939758,0.05508380010724068,0.9839546084403992,0.9800319671630859
5,0.9839000105857849,0.9836850166320801,0.047260530292987823,0.9853943586349487,0.9820287823677063
6,0.9878000020980835,0.988201379776001,0.03666883707046509,0.988908052444458,0.9875199794769287
7,0.9916999936103821,0.9917513132095337,0.02403630129992962,0.9923058748245239,0.9912140369415283
8,0.991599977016449,0.9916071891784668,0.02391672134399414,0.9919097423553467,0.9913138747215271
9,0.991599977016449,0.9916498064994812,0.024576574563980103,0.9922060370445251,0.9911141991615295
0,0.8819000124931335,0.8608860373497009,0.3957219421863556,0.9031656980514526,0.8365615010261536
1,0.9617000222206116,0.961709201335907,0.1290028989315033,0.9679588079452515,0.9557707905769348
2,0.9724000096321106,0.9734906554222107,0.08592911809682846,0.9781234860420227,0.9690495133399963
3,0.9800999760627747,0.9801474809646606,0.06292783468961716,0.9827595949172974,0.9776358008384705
4,0.9850999712944031,0.9849177598953247,0.04756525903940201,0.9866662621498108,0.9832268357276917
5,0.9894000291824341,0.9893931150436401,0.030947692692279816,0.9902961850166321,0.9885183572769165
6,0.9878000020980835,0.987993597984314,0.03487851470708847,0.9890044927597046,0.9870207905769348
7,0.9912999868392944,0.9914059638977051,0.026828637346625328,0.9918099045753479,0.9910143613815308
