epoch,accuracy,f1_m,loss,meanSquaredError,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_meanSquaredError,val_precision_m,val_recall_m
0,0.9975833296775818,0.9975748658180237,0.0104761878028512,0.0005320910713635385,0.9975833296775818,0.9975666403770447,0.9986666440963745,0.9985039830207825,0.00673305056989193,0.0003660268848761916,0.9985039830207825,0.9985039830207825
1,0.9977666735649109,0.9977748990058899,0.010707546025514603,0.000523167836945504,0.997783362865448,0.9977666735649109,0.9936666488647461,0.9933510422706604,0.03358520567417145,0.0013496888568624854,0.9933510422706604,0.9933510422706604
2,0.9977166652679443,0.9977079629898071,0.010032271035015583,0.0004985397099517286,0.9977333545684814,0.9976833462715149,0.9980000257492065,0.9980053305625916,0.009995972737669945,0.0005411895108409226,0.9980053305625916,0.9980053305625916
3,0.997783362865448,0.997783362865448,0.010013027116656303,0.0004997479263693094,0.997783362865448,0.997783362865448,0.9984999895095825,0.9983377456665039,0.005885462276637554,0.0003343078715261072,0.9983377456665039,0.9983377456665039
4,0.9977999925613403,0.9977999925613403,0.00939618144184351,0.00047778672887943685,0.9977999925613403,0.9977999925613403,0.9986666440963745,0.9985039830207825,0.004354494158178568,0.00025734203518368304,0.9985039830207825,0.9985039830207825
5,0.9977499842643738,0.9977415204048157,0.00892612710595131,0.0004636236117221415,0.9977499842643738,0.9977333545684814,0.9983333349227905,0.9981715679168701,0.004634904209524393,0.0003132526180706918,0.9981715679168701,0.9981715679168701
6,0.9975000023841858,0.9975000023841858,0.011497190222144127,0.0005494296783581376,0.9975000023841858,0.9975000023841858,0.9981666803359985,0.9980053305625916,0.005230680573731661,0.00034476237487979233,0.9980053305625916,0.9980053305625916
7,0.9979166388511658,0.9979081749916077,0.00942862220108509,0.0004602220724336803,0.9979166388511658,0.9979000091552734,0.9981666803359985,0.9981715679168701,0.010913017205893993,0.00048057117965072393,0.9981715679168701,0.9981715679168701
0,0.9987499713897705,0.9987581968307495,0.006201765034347773,0.00028016394935548306,0.9987666606903076,0.9987499713897705,0.9993333220481873,0.9993351101875305,0.0021672167349606752,9.987618977902457e-05,0.9993351101875305,0.9993351101875305
1,0.9987666606903076,0.9987666606903076,0.005927797872573137,0.0002773525775410235,0.9987666606903076,0.9987666606903076,0.9990000128746033,0.9990026354789734,0.0044649806804955006,0.00024319194199051708,0.9990026354789734,0.9990026354789734
2,0.9986500144004822,0.9986500144004822,0.006346846465021372,0.0002999260905198753,0.9986500144004822,0.9986500144004822,0.9993333220481873,0.9993351101875305,0.003168628318235278,0.00015707273269072175,0.9993351101875305,0.9993351101875305
3,0.998533308506012,0.998533308506012,0.0068159084767103195,0.00033497950062155724,0.998533308506012,0.998533308506012,0.9990000128746033,0.9990026354789734,0.004739630501717329,0.0002183888282161206,0.9990026354789734,0.9990026354789734
4,0.9989333152770996,0.9989333152770996,0.006009081844240427,0.0002547492040321231,0.9989333152770996,0.9989333152770996,0.9993333220481873,0.9993351101875305,0.0031607465352863073,0.00015339672972913831,0.9993351101875305,0.9993351101875305
5,0.9985166788101196,0.9985166788101196,0.007349968422204256,0.00034059947938658297,0.9985166788101196,0.9985166788101196,0.9991666674613953,0.999168872833252,0.004064294975250959,0.00019034686556551605,0.999168872833252,0.999168872833252
6,0.9986666440963745,0.9986666440963745,0.006618795916438103,0.0002948309702333063,0.9986666440963745,0.9986666440963745,0.9991666674613953,0.999168872833252,0.0030441414564847946,0.00016085506649687886,0.999168872833252,0.999168872833252
7,0.9988999962806702,0.9988999962806702,0.006060514599084854,0.0002632185351103544,0.9988999962806702,0.9988999962806702,0.9993333220481873,0.9993351101875305,0.003304331563413143,0.0001523463724879548,0.9993351101875305,0.9993351101875305
8,0.9982500076293945,0.9982500076293945,0.00788420345634222,0.0003613555454649031,0.9982500076293945,0.9982500076293945,0.9991666674613953,0.999168872833252,0.0037639313377439976,0.00018669216660782695,0.999168872833252,0.999168872833252
9,0.9988666772842407,0.9988666772842407,0.006048859097063541,0.00026419281493872404,0.9988666772842407,0.9988666772842407,0.9984999895095825,0.9985039830207825,0.008798220194876194,0.0003553814021870494,0.9985039830207825,0.9985039830207825
10,0.998449981212616,0.998449981212616,0.008251722902059555,0.0003452804230619222,0.998449981212616,0.998449981212616,0.9986666440963745,0.998670220375061,0.004458428826183081,0.00025722000282257795,0.998670220375061,0.998670220375061
11,0.9982333183288574,0.9982333183288574,0.008092090487480164,0.0003789978800341487,0.9982333183288574,0.9982333183288574,0.9993333220481873,0.9993351101875305,0.0033647706732153893,0.00016015401342883706,0.9993351101875305,0.9993351101875305
12,0.9987166523933411,0.9987166523933411,0.006681421771645546,0.00029651011573150754,0.9987166523933411,0.9987166523933411,0.9991666674613953,0.999168872833252,0.0046583544462919235,0.0001773283729562536,0.999168872833252,0.999168872833252
13,0.9988333582878113,0.9988333582878113,0.006392708979547024,0.00027136734570376575,0.9988333582878113,0.9988333582878113,0.9993333220481873,0.9993351101875305,0.0024602108169347048,0.00012893193343188614,0.9993351101875305,0.9993351101875305
14,0.9986166954040527,0.9986166954040527,0.006745552644133568,0.0003107869124505669,0.9986166954040527,0.9986166954040527,0.9993333220481873,0.9993351101875305,0.004020303022116423,0.00016992061864584684,0.9993351101875305,0.9993351101875305
15,0.9987666606903076,0.9987666606903076,0.0053404709324240685,0.00025511326384730637,0.9987666606903076,0.9987666606903076,0.9993333220481873,0.9993351101875305,0.0022456569131463766,8.327080286107957e-05,0.9993351101875305,0.9993351101875305
16,0.9985666871070862,0.9985666871070862,0.006241752300411463,0.0003012710949406028,0.9985666871070862,0.9985666871070862,0.9988333582878113,0.9988364577293396,0.0045760502107441425,0.0002599330910015851,0.9988364577293396,0.9988364577293396
17,0.998033344745636,0.9980330467224121,0.008117396384477615,0.00040940119652077556,0.9980499744415283,0.9980166554450989,0.9986666440963745,0.998670220375061,0.00498523935675621,0.00022204648121260107,0.998670220375061,0.998670220375061
18,0.9986333250999451,0.9986333250999451,0.006845539435744286,0.0003076365974266082,0.9986333250999451,0.9986333250999451,0.999833345413208,0.9998337626457214,0.002133263973519206,7.725880277575925e-05,0.9998337626457214,0.9998337626457214
