epoch,accuracy,f1_m,loss,meanSquaredError,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_meanSquaredError,val_precision_m,val_recall_m
0,0.9972000122070312,0.9972081780433655,0.011589598841965199,0.0005841288948431611,0.9972166419029236,0.9972000122070312,0.9983333349227905,0.9981715679168701,0.013345553539693356,0.0005770992138423026,0.9981715679168701,0.9981715679168701
1,0.9975500106811523,0.9975563883781433,0.011375815607607365,0.0005536884418688715,0.9975800514221191,0.9975333213806152,0.9986666440963745,0.9985039830207825,0.005550061352550983,0.0003151908458676189,0.9985039830207825,0.9985039830207825
2,0.9973000288009644,0.9973079562187195,0.011587636545300484,0.0005927238380536437,0.9973333477973938,0.9972833395004272,0.9973333477973938,0.9973404407501221,0.012547270394861698,0.0006240473012439907,0.9973404407501221,0.9973404407501221
3,0.9976833462715149,0.9976833462715149,0.010241998359560966,0.0005222450126893818,0.9976833462715149,0.9976833462715149,0.9984999895095825,0.9983377456665039,0.006130100693553686,0.0003469769435469061,0.9983377456665039,0.9983377456665039
4,0.9973499774932861,0.9973582029342651,0.01051096711307764,0.0005557245458476245,0.9973666667938232,0.9973499774932861,0.9961666464805603,0.9965013265609741,0.01129224058240652,0.0006521285395137966,0.9970079660415649,0.9960106611251831
0,0.9987499713897705,0.9987499713897705,0.007226444780826569,0.0002964701852761209,0.9987499713897705,0.9987499713897705,0.999833345413208,0.9998337626457214,0.0018996604485437274,5.427376527222805e-05,0.9998337626457214,0.9998337626457214
1,0.9986500144004822,0.9986500144004822,0.006698559504002333,0.0003058156289625913,0.9986500144004822,0.9986500144004822,0.9993333220481873,0.9993351101875305,0.0024871949572116137,0.00010128325084224343,0.9993351101875305,0.9993351101875305
2,0.9983500242233276,0.9983500242233276,0.0076102507300674915,0.00036177271977066994,0.9983500242233276,0.9983500242233276,0.9990000128746033,0.9990026354789734,0.004085930995643139,0.0002130466018570587,0.9990026354789734,0.9990026354789734
3,0.9987499713897705,0.9987499713897705,0.0064041344448924065,0.00028742593713104725,0.9987499713897705,0.9987499713897705,0.9991666674613953,0.999168872833252,0.00519630778580904,0.00019460744806565344,0.999168872833252,0.999168872833252
4,0.9987166523933411,0.9987166523933411,0.0062706079334020615,0.0002866811992134899,0.9987166523933411,0.9987166523933411,0.9993333220481873,0.9993351101875305,0.006149607244879007,0.00016734142263885587,0.9993351101875305,0.9993351101875305
5,0.9989333152770996,0.9989333152770996,0.005893121473491192,0.00025540683418512344,0.9989333152770996,0.9989333152770996,0.9991666674613953,0.999168872833252,0.0028644322883337736,0.0001550959568703547,0.999168872833252,0.999168872833252
6,0.9987833499908447,0.9987833499908447,0.006527790334075689,0.00027982209576293826,0.9987833499908447,0.9987833499908447,0.9993333220481873,0.9993351101875305,0.0026851538568735123,0.00013742221926804632,0.9993351101875305,0.9993351101875305
7,0.9985833168029785,0.9985833168029785,0.006324332673102617,0.00030282969237305224,0.9985833168029785,0.9985833168029785,0.9993333220481873,0.9993351101875305,0.0024280559737235308,0.00011320604244247079,0.9993351101875305,0.9993351101875305
8,0.9988999962806702,0.9988999962806702,0.005870084278285503,0.00025049876421689987,0.9988999962806702,0.9988999962806702,0.9993333220481873,0.9993351101875305,0.002268230775371194,8.469471504213288e-05,0.9993351101875305,0.9993351101875305
9,0.9988833069801331,0.9988833069801331,0.006478731986135244,0.00026672560488805175,0.9988833069801331,0.9988833069801331,0.9993333220481873,0.9993351101875305,0.003950463142246008,0.0001644065196160227,0.9993351101875305,0.9993351101875305
10,0.9982166886329651,0.9982166886329651,0.00802997499704361,0.000388493703212589,0.9982166886329651,0.9982166886329651,0.9978333115577698,0.997839093208313,0.0052113099955022335,0.0003356306697241962,0.997839093208313,0.997839093208313
11,0.9983166456222534,0.9983166456222534,0.007831285707652569,0.00036336382618173957,0.9983166456222534,0.9983166456222534,0.9988333582878113,0.9988364577293396,0.007607386913150549,0.00028898290474899113,0.9988364577293396,0.9988364577293396
12,0.9987333416938782,0.9987333416938782,0.006651801522821188,0.000291997566819191,0.9987333416938782,0.9987333416938782,0.9991666674613953,0.999168872833252,0.004794278647750616,0.0001958343927981332,0.999168872833252,0.999168872833252
13,0.9982500076293945,0.9982581734657288,0.009605198167264462,0.0003984704380854964,0.9982666373252869,0.9982500076293945,0.9991666674613953,0.999168872833252,0.0049956683069467545,0.00020410829165484756,0.999168872833252,0.999168872833252
14,0.9986833333969116,0.9986833333969116,0.007353651337325573,0.0003037799324374646,0.9986833333969116,0.9986833333969116,0.9991666674613953,0.999168872833252,0.005523448809981346,0.00022541574435308576,0.999168872833252,0.999168872833252
15,0.9986833333969116,0.9986915588378906,0.00685863709077239,0.0002899243263527751,0.9987000226974487,0.9986833333969116,0.9991666674613953,0.999168872833252,0.003678759327158332,0.00018788216402754188,0.999168872833252,0.999168872833252
16,0.9987833499908447,0.9987833499908447,0.006630247458815575,0.000282008433714509,0.9987833499908447,0.9987833499908447,0.9993333220481873,0.9993351101875305,0.0037020347081124783,0.00016332870291080326,0.9993351101875305,0.9993351101875305
17,0.9980666637420654,0.9980666637420654,0.009542375802993774,0.00042244046926498413,0.9980666637420654,0.9980666637420654,0.9993333220481873,0.9993351101875305,0.0023433431051671505,9.877617412712425e-05,0.9993351101875305,0.9993351101875305
18,0.9987999796867371,0.9987999796867371,0.0059172785840928555,0.00026669621001929045,0.9987999796867371,0.9987999796867371,0.9991666674613953,0.999168872833252,0.002370778936892748,0.00011442518734838814,0.999168872833252,0.999168872833252
19,0.9987333416938782,0.9987333416938782,0.005808820948004723,0.00027580594178289175,0.9987333416938782,0.9987333416938782,0.999833345413208,0.9998337626457214,0.002075586002320051,6.998951721470803e-05,0.9998337626457214,0.9998337626457214
20,0.9983500242233276,0.9983500242233276,0.007728861644864082,0.00037332813371904194,0.9983500242233276,0.9983500242233276,0.9986666440963745,0.998670220375061,0.004902401473373175,0.00028046235092915595,0.998670220375061,0.998670220375061
21,0.9984666705131531,0.9984666705131531,0.0065521602518856525,0.0003149565018247813,0.9984666705131531,0.9984666705131531,0.9993333220481873,0.9993351101875305,0.0028612518217414618,0.00014405357069335878,0.9993351101875305,0.9993351101875305
22,0.9987000226974487,0.9987000226974487,0.006403588689863682,0.00028101878706365824,0.9987000226974487,0.9987000226974487,0.9990000128746033,0.9990026354789734,0.006390274502336979,0.0002887695445679128,0.9990026354789734,0.9990026354789734
23,0.9980499744415283,0.9980664253234863,0.008951930329203606,0.00042288663098588586,0.9980833530426025,0.9980499744415283,0.9986666440963745,0.998670220375061,0.0038074066396802664,0.00024594840942882,0.998670220375061,0.998670220375061
24,0.998449981212616,0.998458206653595,0.007426912896335125,0.00034571782452985644,0.9984666705131531,0.998449981212616,0.9993333220481873,0.9993351101875305,0.004112185910344124,0.00017822084191720933,0.9993351101875305,0.9993351101875305
25,0.9982166886329651,0.9982163906097412,0.00838748924434185,0.000394793605664745,0.9982333183288574,0.998199999332428,0.9990000128746033,0.9990026354789734,0.0041217138059437275,0.00021328638831619173,0.9990026354789734,0.9990026354789734
