epoch,accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m
0,0.0016956337494775653,0.0,0.061273787170648575,0.0,0.0,0.004000000189989805,0.0,0.053706225007772446,0.0,0.0
1,0.019923696294426918,0.0,0.0559425950050354,0.0,0.0,0.020999999716877937,0.0,0.052349790930747986,0.0,0.0
2,0.025434507057070732,0.0,0.053347986191511154,0.0,0.0,0.020999999716877937,0.0,0.05177336931228638,0.0,0.0
3,0.025434507057070732,0.0,0.04975409060716629,0.0,0.0,0.020999999716877937,0.0,0.04932040348649025,0.0,0.0
4,0.03518440201878548,0.0,0.045704424381256104,0.0,0.0,0.050999999046325684,0.0,0.04649177938699722,0.0,0.0
5,0.0771513357758522,0.0,0.041639283299446106,0.0,0.0,0.04699999839067459,0.0,0.04448555037379265,0.0,0.0
6,0.08139041811227798,0.0,0.038029301911592484,0.0,0.0,0.04399999976158142,0.0,0.042278215289115906,0.0,0.0
7,0.0869012326002121,0.0,0.03492129221558571,0.0,0.0,0.06400000303983688,0.0,0.04074591025710106,0.0,0.0
8,0.14200933277606964,0.0,0.032105568796396255,0.0,0.0,0.0689999982714653,0.0,0.039518654346466064,0.0,0.0
9,0.14243324100971222,0.0,0.029490860179066658,0.0,0.0,0.0689999982714653,0.0,0.03814845532178879,0.0,0.0
0,0.057498686015605927,0.05240759253501892
1,0.053558334708213806,0.050575315952301025
2,0.04775702580809593,0.04704389348626137
3,0.04127324000000954,0.04375825077295303
4,0.03583467751741409,0.041413962841033936
5,0.031774841248989105,0.03969409316778183
6,0.02910570614039898,0.037734825164079666
7,0.027058033272624016,0.03613324090838432
8,0.025566209107637405,0.03547840192914009
9,0.024450449272990227,0.03414958715438843
0,0.0042390841990709305,0.0,0.05758582800626755,0.0,0.0,0.004999999888241291,0.0,0.052556853741407394,0.0,0.0
1,0.005934718064963818,0.0,0.054155901074409485,0.0,0.0,0.004999999888241291,0.0,0.050796158611774445,0.0,0.0
2,0.0055108098313212395,0.0,0.0490446574985981,0.0,0.0,0.012000000104308128,0.0,0.0478806309401989,0.0,0.0
3,0.06061890721321106,0.0,0.04292286932468414,0.0,0.0,0.052000001072883606,0.0,0.044874146580696106,0.0,0.0
4,0.07248834520578384,0.0,0.03743288293480873,0.0,0.0,0.052000001072883606,0.0,0.04241856560111046,0.0,0.0
5,0.07248834520578384,0.0,0.0332411527633667,0.0,0.0,0.052000001072883606,0.0,0.040565673261880875,0.0,0.0
6,0.12632471323013306,0.0,0.030049197375774384,0.0,0.0,0.0689999982714653,0.0,0.039170119911432266,0.0,0.0
7,0.14243324100971222,0.0,0.02780628390610218,0.0,0.0,0.06800000369548798,0.0,0.037963539361953735,0.0,0.0
8,0.0907164067029953,0.0,0.026274630799889565,0.0,0.0,0.04699999839067459,0.0,0.03710956498980522,0.0,0.0
9,0.07884696871042252,0.0,0.025187261402606964,0.0,0.0,0.04699999839067459,0.0,0.03602574020624161,0.0,0.0
