epoch,accuracy,f1_m,loss,meanSquaredError,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_meanSquaredError,val_precision_m,val_recall_m
0,0.9974666833877563,0.9974582195281982,0.011483719572424889,0.0005608144565485418,0.9974666833877563,0.9974499940872192,0.9981666803359985,0.9980053305625916,0.007066820282489061,0.000379054166842252,0.9980053305625916,0.9980053305625916
1,0.9972333312034607,0.9972333312034607,0.011715930886566639,0.0005861152894794941,0.9972333312034607,0.9972333312034607,0.9981666803359985,0.9980053305625916,0.006386633962392807,0.0003784174914471805,0.9980053305625916,0.9980053305625916
2,0.9973999857902527,0.9973910450935364,0.01099106390029192,0.000558985979296267,0.9973989725112915,0.9973833560943604,0.9983333349227905,0.9981715679168701,0.0068839797750115395,0.0003708034346345812,0.9981715679168701,0.9981715679168701
3,0.9972333312034607,0.9972325563430786,0.011921589262783527,0.0006089232047088444,0.9972661733627319,0.9972000122070312,0.9971666932106018,0.9970871210098267,0.01054851058870554,0.0006311359466053545,0.9971688389778137,0.9970079660415649
4,0.9974333047866821,0.997424840927124,0.011260034516453743,0.0005725939408876002,0.9974333047866821,0.9974166750907898,0.9986666440963745,0.9985039830207825,0.004916436970233917,0.0002761553041636944,0.9985039830207825,0.9985039830207825
5,0.9974666833877563,0.9974570870399475,0.010986527428030968,0.000553588499315083,0.9974833130836487,0.9974333047866821,0.9983333349227905,0.9981715679168701,0.006723519414663315,0.0004226157034281641,0.9981715679168701,0.9981715679168701
6,0.9974333047866821,0.9974415302276611,0.010878009721636772,0.0005498037789948285,0.9974499940872192,0.9974333047866821,0.9948333501815796,0.9946808218955994,0.012167220003902912,0.000787795870564878,0.9946808218955994,0.9946808218955994
7,0.9972833395004272,0.9972912669181824,0.011013261042535305,0.0005622821627184749,0.9972994923591614,0.9972833395004272,0.996999979019165,0.9968417286872864,0.009117893874645233,0.000547197530977428,0.9968417286872864,0.9968417286872864
0,0.9989833235740662,0.9989833235740662,0.005864766892045736,0.00024019375268835574,0.9989833235740662,0.9989833235740662,0.9990000128746033,0.99908447265625,0.0032923324033617973,0.00014688273950014263,0.999168872833252,0.9990026354789734
1,0.9989500045776367,0.9989500045776367,0.005680633243173361,0.0002357201447011903,0.9989500045776367,0.9989500045776367,0.999666690826416,0.9996675252914429,0.0037680063396692276,8.535204688087106e-05,0.9996675252914429,0.9996675252914429
2,0.9988499879837036,0.9988499879837036,0.005451314616948366,0.00023393672017846256,0.9988499879837036,0.9988499879837036,0.9993333220481873,0.9993351101875305,0.007110981736332178,0.00018817487580236048,0.9993351101875305,0.9993351101875305
3,0.9983999729156494,0.9983999729156494,0.00785661581903696,0.0003427996125537902,0.9983999729156494,0.9983999729156494,0.9956666827201843,0.995678186416626,0.010631382465362549,0.0006956427241675556,0.995678186416626,0.995678186416626
4,0.9990000128746033,0.9990000128746033,0.004903159104287624,0.00021133078553248197,0.9990000128746033,0.9990000128746033,0.999833345413208,0.9998337626457214,0.001585115329362452,4.5098633563611656e-05,0.9998337626457214,0.9998337626457214
5,0.9989833235740662,0.9989833235740662,0.005343551281839609,0.0002188650396419689,0.9989833235740662,0.9989833235740662,0.999666690826416,0.9996675252914429,0.0021840219851583242,8.160193101502955e-05,0.9996675252914429,0.9996675252914429
6,0.9987000226974487,0.9987000226974487,0.00662227114662528,0.00030587645596824586,0.9987000226974487,0.9987000226974487,0.9990000128746033,0.9990026354789734,0.003378276713192463,0.0001939529465744272,0.9990026354789734,0.9990026354789734
