epoch,accuracy,f1_m,loss,meanSquaredError,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_meanSquaredError,val_precision_m,val_recall_m
0,0.8421666622161865,0.7707710266113281,0.46084678173065186,0.029620608314871788,0.8749489188194275,0.7425666451454163,0.9419999718666077,0.9415632486343384,0.1838858276605606,0.011928144842386246,0.9416395425796509,0.9414893388748169
0,0.8731833100318909,0.8174607157707214,0.39709556102752686,0.025181468576192856,0.8587121963500977,0.8039166927337646,0.9511666893959045,0.9499692916870117,0.20182979106903076,0.011925620026886463,0.9511732459068298,0.948803186416626
1,0.9558166861534119,0.9557707905769348,0.1449604630470276,0.008800676092505455,0.956240177154541,0.9553166627883911,0.9653333425521851,0.9649189114570618,0.11699387431144714,0.006649981718510389,0.9652539491653442,0.9645944237709045
2,0.9682833552360535,0.9683992266654968,0.10234557092189789,0.006253014784306288,0.9689497947692871,0.9678666591644287,0.9766666889190674,0.9762247800827026,0.07675469666719437,0.004835635889321566,0.9765625,0.9758976101875305
3,0.9765499830245972,0.9767408967018127,0.08057607710361481,0.00478076608851552,0.9775100946426392,0.9760000109672546,0.9785000085830688,0.978691577911377,0.07117144018411636,0.0041568949818611145,0.979865550994873,0.9775598645210266
4,0.9792166948318481,0.9792259931564331,0.06960975378751755,0.004172672051936388,0.9803578853607178,0.9781333208084106,0.9806666374206543,0.9811111092567444,0.060046639293432236,0.003733825869858265,0.9816886186599731,0.9805518388748169
5,0.9794833064079285,0.9796893000602722,0.06711289286613464,0.004057985730469227,0.9810791015625,0.9783499836921692,0.9786666631698608,0.9780452251434326,0.07142776995897293,0.004525283817201853,0.9785464406013489,0.9775598645210266
6,0.9815166592597961,0.9816043376922607,0.061897162348032,0.003682362614199519,0.9829718470573425,0.9802833199501038,0.9741666913032532,0.9729185104370117,0.0929642841219902,0.0055854409001767635,0.9746533036231995,0.9712433218955994
7,0.9824833273887634,0.9826096892356873,0.05644204095005989,0.0034192493185400963,0.9840360879898071,0.9812333583831787,0.9679999947547913,0.9724944233894348,0.06979891657829285,0.004646755754947662,0.9779638648033142,0.9672539830207825
0,0.799916684627533,0.7037180066108704,0.531684160232544,0.03515401855111122,0.8595605492591858,0.6627833247184753,0.940500020980835,0.9409404397010803,0.2076905518770218,0.012710890732705593,0.9417468309402466,0.9401595592498779
1,0.9502666592597961,0.9502879977226257,0.1640975922346115,0.010001840069890022,0.9509548544883728,0.94964998960495,0.8893333077430725,0.8894138932228088,0.23887032270431519,0.018291279673576355,0.8902227282524109,0.8886303305625916
2,0.9714333415031433,0.9715670943260193,0.09782474488019943,0.005791728850454092,0.9722082614898682,0.9709500074386597,0.9585000276565552,0.958213746547699,0.10913538932800293,0.007062931545078754,0.9605658650398254,0.9559507966041565
3,0.9818666577339172,0.9818782806396484,0.06868916004896164,0.00372728006914258,0.9828220009803772,0.9809666872024536,0.9901666641235352,0.989942193031311,0.043874405324459076,0.0023464905098080635,0.990026593208313,0.9898603558540344
4,0.9852833151817322,0.9852754473686218,0.056916769593954086,0.003073807107284665,0.9859288334846497,0.9846500158309937,0.9890000224113464,0.988939642906189,0.042664483189582825,0.002266125287860632,0.9893617033958435,0.9885305762290955
5,0.9842000007629395,0.9843119382858276,0.058451466262340546,0.0031645402777940035,0.9850031733512878,0.9836500287055969,0.9888333082199097,0.988696813583374,0.03788946196436882,0.0020314904395490885,0.988696813583374,0.988696813583374
6,0.9871666431427002,0.9874208569526672,0.045512739568948746,0.002430879045277834,0.988101601600647,0.9867666959762573,0.9903333187103271,0.9901084303855896,0.030636180192232132,0.0016218492528423667,0.9901928305625916,0.990026593208313
7,0.9890499711036682,0.9887210726737976,0.04434041678905487,0.0023059595841914415,0.9904196858406067,0.9870833158493042,0.9900000095367432,0.9898603558540344,0.030359409749507904,0.0015876402612775564,0.9898603558540344,0.9898603558540344
8,0.9915500283241272,0.9915347099304199,0.03777970001101494,0.0019156165653839707,0.9918973445892334,0.991183340549469,0.9831666946411133,0.9832114577293396,0.0901428833603859,0.003915362525731325,0.9832114577293396,0.9832114577293396
9,0.9905999898910522,0.9905685186386108,0.04021524637937546,0.002061982173472643,0.9907785058021545,0.9903666377067566,0.9929999709129333,0.9928444623947144,0.02601449564099312,0.0014399610226973891,0.9931795001029968,0.9925199747085571
10,0.9915666580200195,0.9915629625320435,0.034696999937295914,0.0018503929022699594,0.9916977882385254,0.991433322429657,0.9958333373069763,0.9960053563117981,0.022044360637664795,0.0010467497631907463,0.9961715340614319,0.9958444237709045
11,0.9921666383743286,0.9921746253967285,0.03244848921895027,0.0017186232144013047,0.9922000169754028,0.9921500086784363,0.9926666617393494,0.9927679896354675,0.030171211808919907,0.0016116315964609385,0.9928523898124695,0.9926861524581909
12,0.9926333427429199,0.9925899505615234,0.031025763601064682,0.001623694784939289,0.9926656484603882,0.9925166964530945,0.9955000281333923,0.9954248666763306,0.020161934196949005,0.0009806005982682109,0.9955065846443176,0.9953457713127136
13,0.9930833578109741,0.9930745959281921,0.02862798608839512,0.0015056655975058675,0.9930828213691711,0.993066668510437,0.9965000152587891,0.996509313583374,0.017092425376176834,0.0008843180257827044,0.996509313583374,0.996509313583374
14,0.9940833449363708,0.994099497795105,0.024491600692272186,0.0012840739218518138,0.9941333532333374,0.9940666556358337,0.996833324432373,0.9968417286872864,0.01686917059123516,0.0008098474354483187,0.9968417286872864,0.9968417286872864
